ts,eth_price,funding_apr,in_position,cash,unrealized_pnl,total_funding_income_cumulative,account_value
2024-10-01T00:00:00+00:00,2617.06000000,21.90000000,True,2288.59389320,0.05234120,0.05234120,2497.95869320
2024-10-01T01:00:00+00:00,2619.09000000,21.90000000,True,2288.64627500,0.10472300,0.10472300,2498.01107500
2024-10-01T02:00:00+00:00,2617.52000000,21.90000000,True,2288.69862540,0.15707340,0.15707340,2498.06342540
2024-10-01T03:00:00+00:00,2628.14000000,21.90000000,True,2288.75118820,0.20963620,0.20963620,2498.11598820
2024-10-01T04:00:00+00:00,2642.77000000,21.90000000,True,2288.80404360,0.26249160,0.26249160,2498.16884360
2024-10-01T05:00:00+00:00,2638.33000000,21.90000000,True,2288.85681020,0.31525820,0.31525820,2498.22161020
2024-10-01T06:00:00+00:00,2655.92000000,21.90000000,True,2288.90992860,0.36837660,0.36837660,2498.27472860
2024-10-01T07:00:00+00:00,2644.78000000,21.90000000,True,2288.96282420,0.42127220,0.42127220,2498.32762420
2024-10-01T08:00:00+00:00,2639.79000000,21.90000000,True,2289.01562000,0.47406800,0.47406800,2498.38042000
2024-10-01T09:00:00+00:00,2636.01000000,21.90000000,True,2289.06834020,0.52678820,0.52678820,2498.43314020
2024-10-01T10:00:00+00:00,2637.58000000,21.90000000,True,2289.12109180,0.57953980,0.57953980,2498.48589180
2024-10-01T11:00:00+00:00,2628.83000000,21.90000000,True,2289.17366840,0.63211640,0.63211640,2498.53846840
2024-10-01T12:00:00+00:00,2624.00000000,21.90000000,True,2289.22614840,0.68459640,0.68459640,2498.59094840
2024-10-01T13:00:00+00:00,2580.23000000,21.90000000,True,2289.27775300,0.73620100,0.73620100,2498.64255300
2024-10-01T14:00:00+00:00,2549.14000000,21.90000000,True,2289.32873580,0.78718380,0.78718380,2498.69353580
2024-10-01T15:00:00+00:00,2523.64000000,21.90000000,True,2289.37920860,0.83765660,0.83765660,2498.74400860
2024-10-01T16:00:00+00:00,2508.19000000,21.90000000,True,2289.42937240,0.88782040,0.88782040,2498.79417240
2024-10-01T17:00:00+00:00,2506.17000000,21.90000000,True,2289.47949580,0.93794380,0.93794380,2498.84429580
2024-10-01T18:00:00+00:00,2501.07000000,21.90000000,True,2289.52951720,0.98796520,0.98796520,2498.89431720
2024-10-01T19:00:00+00:00,2486.49000000,21.90000000,True,2289.57924700,1.03769500,1.03769500,2498.94404700
2024-10-01T20:00:00+00:00,2451.29000000,21.90000000,True,2289.62827280,1.08672080,1.08672080,2498.99307280
2024-10-01T21:00:00+00:00,2471.76000000,21.90000000,True,2289.67770800,1.13615600,1.13615600,2499.04250800
2024-10-01T22:00:00+00:00,2452.77000000,21.90000000,True,2289.72676340,1.18521140,1.18521140,2499.09156340
2024-10-01T23:00:00+00:00,2448.27000000,21.90000000,True,2289.77572880,1.23417680,1.23417680,2499.14052880
2024-10-02T00:00:00+00:00,2462.85000000,21.90000000,True,2289.82498580,1.28343380,1.28343380,2499.18978580
2024-10-02T01:00:00+00:00,2480.19000000,21.90000000,True,2289.87458960,1.33303760,1.33303760,2499.23938960
2024-10-02T02:00:00+00:00,2493.26000000,21.90000000,True,2289.92445480,1.38290280,1.38290280,2499.28925480
2024-10-02T03:00:00+00:00,2489.57000000,21.90000000,True,2289.97424620,1.43269420,1.43269420,2499.33904620
2024-10-02T04:00:00+00:00,2486.17000000,21.90000000,True,2290.02396960,1.48241760,1.48241760,2499.38876960
2024-10-02T05:00:00+00:00,2476.77000000,21.90000000,True,2290.07350500,1.53195300,1.53195300,2499.43830500
2024-10-02T06:00:00+00:00,2486.27000000,21.90000000,True,2290.12323040,1.58167840,1.58167840,2499.48803040
2024-10-02T07:00:00+00:00,2483.32000000,21.90000000,True,2290.17289680,1.63134480,1.63134480,2499.53769680
2024-10-02T08:00:00+00:00,2480.12000000,21.90000000,True,2290.22249920,1.68094720,1.68094720,2499.58729920
2024-10-02T09:00:00+00:00,2451.06000000,21.90000000,True,2290.27152040,1.72996840,1.72996840,2499.63632040
2024-10-02T10:00:00+00:00,2450.48000000,21.90000000,True,2290.32053000,1.77897800,1.77897800,2499.68533000
2024-10-02T11:00:00+00:00,2456.56000000,21.90000000,True,2290.36966120,1.82810920,1.82810920,2499.73446120
2024-10-02T12:00:00+00:00,2434.43000000,21.90000000,True,2290.41834980,1.87679780,1.87679780,2499.78314980
2024-10-02T13:00:00+00:00,2449.08000000,21.90000000,True,2290.46733140,1.92577940,1.92577940,2499.83213140
2024-10-02T14:00:00+00:00,2435.98000000,21.90000000,True,2290.51605100,1.97449900,1.97449900,2499.88085100
2024-10-02T15:00:00+00:00,2460.82000000,21.90000000,True,2290.56526740,2.02371540,2.02371540,2499.93006740
2024-10-02T16:00:00+00:00,2454.60000000,21.90000000,True,2290.61435940,2.07280740,2.07280740,2499.97915940
2024-10-02T17:00:00+00:00,2446.13000000,21.90000000,True,2290.66328200,2.12173000,2.12173000,2500.02808200
2024-10-02T18:00:00+00:00,2389.89000000,21.90000000,True,2290.71107980,2.16952780,2.16952780,2500.07587980
2024-10-02T19:00:00+00:00,2372.67000000,21.90000000,True,2290.75853320,2.21698120,2.21698120,2500.12333320
2024-10-02T20:00:00+00:00,2386.44000000,21.90000000,True,2290.80626200,2.26471000,2.26471000,2500.17106200
2024-10-02T21:00:00+00:00,2378.20000000,21.90000000,True,2290.85382600,2.31227400,2.31227400,2500.21862600
2024-10-02T22:00:00+00:00,2381.47000000,21.90000000,True,2290.90145540,2.35990340,2.35990340,2500.26625540
2024-10-02T23:00:00+00:00,2363.93000000,21.90000000,True,2290.94873400,2.40718200,2.40718200,2500.31353400
2024-10-03T00:00:00+00:00,2371.91000000,21.90000000,True,2290.99617220,2.45462020,2.45462020,2500.36097220
2024-10-03T01:00:00+00:00,2384.11000000,21.90000000,True,2291.04385440,2.50230240,2.50230240,2500.40865440
2024-10-03T02:00:00+00:00,2391.79000000,21.90000000,True,2291.09169020,2.55013820,2.55013820,2500.45649020
2024-10-03T03:00:00+00:00,2398.99000000,21.90000000,True,2291.13967000,2.59811800,2.59811800,2500.50447000
2024-10-03T04:00:00+00:00,2395.79000000,21.90000000,True,2291.18758580,2.64603380,2.64603380,2500.55238580
2024-10-03T05:00:00+00:00,2383.71000000,21.90000000,True,2291.23526000,2.69370800,2.69370800,2500.60006000
2024-10-03T06:00:00+00:00,2390.01000000,21.90000000,True,2291.28306020,2.74150820,2.74150820,2500.64786020
2024-10-03T07:00:00+00:00,2365.87000000,21.90000000,True,2291.33037760,2.78882560,2.78882560,2500.69517760
2024-10-03T08:00:00+00:00,2338.46000000,21.90000000,True,2291.37714680,2.83559480,2.83559480,2500.74194680
2024-10-03T09:00:00+00:00,2351.36000000,21.90000000,True,2291.42417400,2.88262200,2.88262200,2500.78897400
2024-10-03T10:00:00+00:00,2368.27000000,21.90000000,True,2291.47153940,2.92998740,2.92998740,2500.83633940
2024-10-03T11:00:00+00:00,2351.69000000,21.90000000,True,2291.51857320,2.97702120,2.97702120,2500.88337320
