ts,eth_price,funding_apr,in_position,cash,unrealized_pnl,total_funding_income_cumulative,account_value
2024-10-01T00:00:00+00:00,2617.06000000,87.60000000,True,2288.75091680,0.20936480,0.20936480,2498.11571680
2024-10-01T01:00:00+00:00,2619.09000000,87.60000000,True,2288.96044400,0.41889200,0.41889200,2498.32524400
2024-10-01T02:00:00+00:00,2617.52000000,87.60000000,True,2289.16984560,0.62829360,0.62829360,2498.53464560
2024-10-01T03:00:00+00:00,2628.14000000,87.60000000,True,2289.38009680,0.83854480,0.83854480,2498.74489680
2024-10-01T04:00:00+00:00,2642.77000000,87.60000000,True,2289.59151840,1.04996640,1.04996640,2498.95631840
2024-10-01T05:00:00+00:00,2638.33000000,87.60000000,True,2289.80258480,1.26103280,1.26103280,2499.16738480
2024-10-01T06:00:00+00:00,2655.92000000,87.60000000,True,2290.01505840,1.47350640,1.47350640,2499.37985840
2024-10-01T07:00:00+00:00,2644.78000000,87.60000000,True,2290.22664080,1.68508880,1.68508880,2499.59144080
2024-10-01T08:00:00+00:00,2639.79000000,87.60000000,True,2290.43782400,1.89627200,1.89627200,2499.80262400
2024-10-01T09:00:00+00:00,2636.01000000,87.60000000,True,2290.64870480,2.10715280,2.10715280,2500.01350480
2024-10-01T10:00:00+00:00,2637.58000000,87.60000000,True,2290.85971120,2.31815920,2.31815920,2500.22451120
2024-10-01T11:00:00+00:00,2628.83000000,87.60000000,True,2291.07001760,2.52846560,2.52846560,2500.43481760
2024-10-01T12:00:00+00:00,2624.00000000,87.60000000,True,2291.27993760,2.73838560,2.73838560,2500.64473760
2024-10-01T13:00:00+00:00,2580.23000000,87.60000000,True,2291.48635600,2.94480400,2.94480400,2500.85115600
2024-10-01T14:00:00+00:00,2549.14000000,87.60000000,True,2291.69028720,3.14873520,3.14873520,2501.05508720
2024-10-01T15:00:00+00:00,2523.64000000,87.60000000,True,2291.89217840,3.35062640,3.35062640,2501.25697840
2024-10-01T16:00:00+00:00,2508.19000000,87.60000000,True,2292.09283360,3.55128160,3.55128160,2501.45763360
2024-10-01T17:00:00+00:00,2506.17000000,87.60000000,True,2292.29332720,3.75177520,3.75177520,2501.65812720
2024-10-01T18:00:00+00:00,2501.07000000,87.60000000,True,2292.49341280,3.95186080,3.95186080,2501.85821280
2024-10-01T19:00:00+00:00,2486.49000000,87.60000000,True,2292.69233200,4.15078000,4.15078000,2502.05713200
2024-10-01T20:00:00+00:00,2451.29000000,87.60000000,True,2292.88843520,4.34688320,4.34688320,2502.25323520
2024-10-01T21:00:00+00:00,2471.76000000,87.60000000,True,2293.08617600,4.54462400,4.54462400,2502.45097600
2024-10-01T22:00:00+00:00,2452.77000000,87.60000000,True,2293.28239760,4.74084560,4.74084560,2502.64719760
2024-10-01T23:00:00+00:00,2448.27000000,87.60000000,True,2293.47825920,4.93670720,4.93670720,2502.84305920
2024-10-02T00:00:00+00:00,2462.85000000,87.60000000,True,2293.67528720,5.13373520,5.13373520,2503.04008720
2024-10-02T01:00:00+00:00,2480.19000000,87.60000000,True,2293.87370240,5.33215040,5.33215040,2503.23850240
2024-10-02T02:00:00+00:00,2493.26000000,87.60000000,True,2294.07316320,5.53161120,5.53161120,2503.43796320
2024-10-02T03:00:00+00:00,2489.57000000,87.60000000,True,2294.27232880,5.73077680,5.73077680,2503.63712880
2024-10-02T04:00:00+00:00,2486.17000000,87.60000000,True,2294.47122240,5.92967040,5.92967040,2503.83602240
2024-10-02T05:00:00+00:00,2476.77000000,87.60000000,True,2294.66936400,6.12781200,6.12781200,2504.03416400
2024-10-02T06:00:00+00:00,2486.27000000,87.60000000,True,2294.86826560,6.32671360,6.32671360,2504.23306560
2024-10-02T07:00:00+00:00,2483.32000000,87.60000000,True,2295.06693120,6.52537920,6.52537920,2504.43173120
2024-10-02T08:00:00+00:00,2480.12000000,87.60000000,True,2295.26534080,6.72378880,6.72378880,2504.63014080
2024-10-02T09:00:00+00:00,2451.06000000,87.60000000,True,2295.46142560,6.91987360,6.91987360,2504.82622560
2024-10-02T10:00:00+00:00,2450.48000000,87.60000000,True,2295.65746400,7.11591200,7.11591200,2505.02226400
2024-10-02T11:00:00+00:00,2456.56000000,87.60000000,True,2295.85398880,7.31243680,7.31243680,2505.21878880
2024-10-02T12:00:00+00:00,2434.43000000,87.60000000,True,2296.04874320,7.50719120,7.50719120,2505.41354320
2024-10-02T13:00:00+00:00,2449.08000000,87.60000000,True,2296.24466960,7.70311760,7.70311760,2505.60946960
2024-10-02T14:00:00+00:00,2435.98000000,87.60000000,True,2296.43954800,7.89799600,7.89799600,2505.80434800
