ts,eth_price,funding_apr,in_position,cash,unrealized_pnl,total_funding_income_cumulative,account_value
2024-10-01T00:00:00+00:00,2617.06000000,10.95000000,True,2288.56772260,0.02617060,0.02617060,2497.93252260
2024-10-01T01:00:00+00:00,2619.09000000,10.95000000,True,2288.59391350,0.05236150,0.05236150,2497.95871350
2024-10-01T02:00:00+00:00,2617.52000000,10.95000000,True,2288.62008870,0.07853670,0.07853670,2497.98488870
2024-10-01T03:00:00+00:00,2628.14000000,10.95000000,True,2288.64637010,0.10481810,0.10481810,2498.01117010
2024-10-01T04:00:00+00:00,2642.77000000,10.95000000,True,2288.67279780,0.13124580,0.13124580,2498.03759780
2024-10-01T05:00:00+00:00,2638.33000000,10.95000000,True,2288.69918110,0.15762910,0.15762910,2498.06398110
2024-10-01T06:00:00+00:00,2655.92000000,10.95000000,True,2288.72574030,0.18418830,0.18418830,2498.09054030
2024-10-01T07:00:00+00:00,2644.78000000,10.95000000,True,2288.75218810,0.21063610,0.21063610,2498.11698810
2024-10-01T08:00:00+00:00,2639.79000000,10.95000000,True,2288.77858600,0.23703400,0.23703400,2498.14338600
2024-10-01T09:00:00+00:00,2636.01000000,10.95000000,True,2288.80494610,0.26339410,0.26339410,2498.16974610
2024-10-01T10:00:00+00:00,2637.58000000,10.95000000,True,2288.83132190,0.28976990,0.28976990,2498.19612190
2024-10-01T11:00:00+00:00,2628.83000000,10.95000000,True,2288.85761020,0.31605820,0.31605820,2498.22241020
2024-10-01T12:00:00+00:00,2624.00000000,10.95000000,True,2288.88385020,0.34229820,0.34229820,2498.24865020
2024-10-01T13:00:00+00:00,2580.23000000,10.95000000,True,2288.90965250,0.36810050,0.36810050,2498.27445250
2024-10-01T14:00:00+00:00,2549.14000000,10.95000000,True,2288.93514390,0.39359190,0.39359190,2498.29994390
2024-10-01T15:00:00+00:00,2523.64000000,10.95000000,True,2288.96038030,0.41882830,0.41882830,2498.32518030
2024-10-01T16:00:00+00:00,2508.19000000,10.95000000,True,2288.98546220,0.44391020,0.44391020,2498.35026220
2024-10-01T17:00:00+00:00,2506.17000000,10.95000000,True,2289.01052390,0.46897190,0.46897190,2498.37532390
2024-10-01T18:00:00+00:00,2501.07000000,10.95000000,True,2289.03553460,0.49398260,0.49398260,2498.40033460
2024-10-01T19:00:00+00:00,2486.49000000,10.95000000,True,2289.06039950,0.51884750,0.51884750,2498.42519950
2024-10-01T20:00:00+00:00,2451.29000000,10.95000000,True,2289.08491240,0.54336040,0.54336040,2498.44971240
2024-10-01T21:00:00+00:00,2471.76000000,10.95000000,True,2289.10963000,0.56807800,0.56807800,2498.47443000
2024-10-01T22:00:00+00:00,2452.77000000,10.95000000,True,2289.13415770,0.59260570,0.59260570,2498.49895770
2024-10-01T23:00:00+00:00,2448.27000000,10.95000000,True,2289.15864040,0.61708840,0.61708840,2498.52344040
2024-10-02T00:00:00+00:00,2462.85000000,10.95000000,True,2289.18326890,0.64171690,0.64171690,2498.54806890
2024-10-02T01:00:00+00:00,2480.19000000,10.95000000,True,2289.20807080,0.66651880,0.66651880,2498.57287080
2024-10-02T02:00:00+00:00,2493.26000000,10.95000000,True,2289.23300340,0.69145140,0.69145140,2498.59780340
2024-10-02T03:00:00+00:00,2489.57000000,10.95000000,True,2289.25789910,0.71634710,0.71634710,2498.62269910
2024-10-02T04:00:00+00:00,2486.17000000,10.95000000,True,2289.28276080,0.74120880,0.74120880,2498.64756080
