ts,eth_price,funding_apr,in_position,cash,unrealized_pnl,total_funding_income_cumulative,account_value
2023-01-01T00:00:00+00:00,1194.14000000,43.80000000,True,2403.56125360,0.04776560,0.04776560,2499.09245360
2023-01-01T01:00:00+00:00,1195.00000000,43.80000000,True,2403.60905360,0.09556560,0.09556560,2499.14025360
2023-01-01T02:00:00+00:00,1194.75000000,43.80000000,True,2403.65684360,0.14335560,0.14335560,2499.18804360
2023-01-01T03:00:00+00:00,1192.72000000,43.80000000,True,2403.70455240,0.19106440,0.19106440,2499.23575240
2023-01-01T04:00:00+00:00,1192.12000000,43.80000000,True,2403.75223720,0.23874920,0.23874920,2499.28343720
2023-01-01T05:00:00+00:00,1193.44000000,43.80000000,True,2403.79997480,0.28648680,0.28648680,2499.33117480
2023-01-01T06:00:00+00:00,1193.55000000,43.80000000,True,2403.84771680,0.33422880,0.33422880,2499.37891680
2023-01-01T07:00:00+00:00,1194.53000000,43.80000000,True,2403.89549800,0.38201000,0.38201000,2499.42669800
2023-01-01T08:00:00+00:00,1193.79000000,43.80000000,True,2403.94324960,0.42976160,0.42976160,2499.47444960
2023-01-01T09:00:00+00:00,1195.44000000,43.80000000,True,2403.99106720,0.47757920,0.47757920,2499.52226720
2023-01-01T10:00:00+00:00,1195.59000000,43.80000000,True,2404.03889080,0.52540280,0.52540280,2499.57009080
2023-01-01T11:00:00+00:00,1195.36000000,43.80000000,True,2404.08670520,0.57321720,0.57321720,2499.61790520
2023-01-01T12:00:00+00:00,1197.27000000,43.80000000,True,2404.13459600,0.62110800,0.62110800,2499.66579600
2023-01-01T13:00:00+00:00,1194.65000000,43.80000000,True,2404.18238200,0.66889400,0.66889400,2499.71358200
2023-01-01T14:00:00+00:00,1194.68000000,43.80000000,True,2404.23016920,0.71668120,0.71668120,2499.76136920
2023-01-01T15:00:00+00:00,1195.64000000,43.80000000,True,2404.27799480,0.76450680,0.76450680,2499.80919480
2023-01-01T16:00:00+00:00,1197.14000000,43.80000000,True,2404.32588040,0.81239240,0.81239240,2499.85708040
2023-01-01T17:00:00+00:00,1200.17000000,43.80000000,True,2404.37388720,0.86039920,0.86039920,2499.90508720
2023-01-01T18:00:00+00:00,1200.66000000,43.80000000,True,2404.42191360,0.90842560,0.90842560,2499.95311360
2023-01-01T19:00:00+00:00,1201.39000000,43.80000000,True,2404.46996920,0.95648120,0.95648120,2500.00116920
2023-01-01T20:00:00+00:00,1201.48000000,43.80000000,True,2404.51802840,1.00454040,1.00454040,2500.04922840
2023-01-01T21:00:00+00:00,1202.11000000,43.80000000,True,2404.56611280,1.05262480,1.05262480,2500.09731280
2023-01-01T22:00:00+00:00,1200.04000000,43.80000000,True,2404.61411440,1.10062640,1.10062640,2500.14531440
2023-01-01T23:00:00+00:00,1199.76000000,43.80000000,True,2404.66210480,1.14861680,1.14861680,2500.19330480
2023-01-02T00:00:00+00:00,1197.61000000,43.80000000,True,2404.71000920,1.19652120,1.19652120,2500.24120920
2023-01-02T01:00:00+00:00,1194.58000000,43.80000000,True,2404.75779240,1.24430440,1.24430440,2500.28899240
2023-01-02T02:00:00+00:00,1196.21000000,43.80000000,True,2404.80564080,1.29215280,1.29215280,2500.33684080
2023-01-02T03:00:00+00:00,1201.19000000,43.80000000,True,2404.85368840,1.34020040,1.34020040,2500.38488840
2023-01-02T04:00:00+00:00,1200.86000000,43.80000000,True,2404.90172280,1.38823480,1.38823480,2500.43292280
2023-01-02T05:00:00+00:00,1201.88000000,43.80000000,True,2404.94979800,1.43631000,1.43631000,2500.48099800
2023-01-02T06:00:00+00:00,1200.85000000,43.80000000,True,2404.99783200,1.48434400,1.48434400,2500.52903200
2023-01-02T07:00:00+00:00,1212.82000000,43.80000000,True,2405.04634480,1.53285680,1.53285680,2500.57754480
2023-01-02T08:00:00+00:00,1215.39000000,43.80000000,True,2405.09496040,1.58147240,1.58147240,2500.62616040
2023-01-02T09:00:00+00:00,1218.00000000,43.80000000,True,2405.14368040,1.63019240,1.63019240,2500.67488040
2023-01-02T10:00:00+00:00,1217.57000000,43.80000000,True,2405.19238320,1.67889520,1.67889520,2500.72358320
2023-01-02T11:00:00+00:00,1216.31000000,43.80000000,True,2405.24103560,1.72754760,1.72754760,2500.77223560
2023-01-02T12:00:00+00:00,1216.61000000,43.80000000,True,2405.28970000,1.77621200,1.77621200,2500.82090000
2023-01-02T13:00:00+00:00,1214.64000000,43.80000000,True,2405.33828560,1.82479760,1.82479760,2500.86948560
2023-01-02T14:00:00+00:00,1216.52000000,43.80000000,True,2405.38694640,1.87345840,1.87345840,2500.91814640
2023-01-02T15:00:00+00:00,1218.68000000,43.80000000,True,2405.43569360,1.92220560,1.92220560,2500.96689360
2023-01-02T16:00:00+00:00,1216.70000000,43.80000000,True,2405.48436160,1.97087360,1.97087360,2501.01556160
2023-01-02T17:00:00+00:00,1216.31000000,43.80000000,True,2405.53301400,2.01952600,2.01952600,2501.06421400
2023-01-02T18:00:00+00:00,1217.43000000,43.80000000,True,2405.58171120,2.06822320,2.06822320,2501.11291120
2023-01-02T19:00:00+00:00,1218.34000000,43.80000000,True,2405.63044480,2.11695680,2.11695680,2501.16164480
2023-01-02T20:00:00+00:00,1218.27000000,43.80000000,True,2405.67917560,2.16568760,2.16568760,2501.21037560
2023-01-02T21:00:00+00:00,1219.17000000,43.80000000,True,2405.72794240,2.21445440,2.21445440,2501.25914240
2023-01-02T22:00:00+00:00,1214.79000000,43.80000000,True,2405.77653400,2.26304600,2.26304600,2501.30773400
2023-01-02T23:00:00+00:00,1213.71000000,43.80000000,True,2405.82508240,2.31159440,2.31159440,2501.35628240
2023-01-03T00:00:00+00:00,1215.00000000,43.80000000,True,2405.87368240,2.36019440,2.36019440,2501.40488240
2023-01-03T01:00:00+00:00,1213.58000000,43.80000000,True,2405.92222560,2.40873760,2.40873760,2501.45342560
2023-01-03T02:00:00+00:00,1214.01000000,43.80000000,True,2405.97078600,2.45729800,2.45729800,2501.50198600
2023-01-03T03:00:00+00:00,1214.81000000,43.80000000,True,2406.01937840,2.50589040,2.50589040,2501.55057840
2023-01-03T04:00:00+00:00,1213.55000000,43.80000000,True,2406.06792040,2.55443240,2.55443240,2501.59912040
2023-01-03T05:00:00+00:00,1217.23000000,43.80000000,True,2406.11660960,2.60312160,2.60312160,2501.64780960
2023-01-03T06:00:00+00:00,1217.01000000,43.80000000,True,2406.16529000,2.65180200,2.65180200,2501.69649000
2023-01-03T07:00:00+00:00,1216.29000000,43.80000000,True,2406.21394160,2.70045360,2.70045360,2501.74514160
2023-01-03T08:00:00+00:00,1215.40000000,43.80000000,True,2406.26255760,2.74906960,2.74906960,2501.79375760
2023-01-03T09:00:00+00:00,1217.30000000,43.80000000,True,2406.31124960,2.79776160,2.79776160,2501.84244960
2023-01-03T10:00:00+00:00,1215.21000000,43.80000000,True,2406.35985800,2.84637000,2.84637000,2501.89105800
2023-01-03T11:00:00+00:00,1214.43000000,43.80000000,True,2406.40843520,2.89494720,2.89494720,2501.93963520
2023-01-03T12:00:00+00:00,1214.54000000,43.80000000,True,2406.45701680,2.94352880,2.94352880,2501.98821680
2023-01-03T13:00:00+00:00,1216.30000000,43.80000000,True,2406.50566880,2.99218080,2.99218080,2502.03686880
2023-01-03T14:00:00+00:00,1209.43000000,43.80000000,True,2406.55404600,3.04055800,3.04055800,2502.08524600
2023-01-03T15:00:00+00:00,1211.31000000,43.80000000,True,2406.60249840,3.08901040,3.08901040,2502.13369840
2023-01-03T16:00:00+00:00,1207.68000000,43.80000000,True,2406.65080560,3.13731760,3.13731760,2502.18200560
2023-01-03T17:00:00+00:00,1208.20000000,43.80000000,True,2406.69913360,3.18564560,3.18564560,2502.23033360
2023-01-03T18:00:00+00:00,1207.26000000,43.80000000,True,2406.74742400,3.23393600,3.23393600,2502.27862400
2023-01-03T19:00:00+00:00,1209.29000000,43.80000000,True,2406.79579560,3.28230760,3.28230760,2502.32699560
2023-01-03T20:00:00+00:00,1210.42000000,43.80000000,True,2406.84421240,3.33072440,3.33072440,2502.37541240
2023-01-03T21:00:00+00:00,1210.78000000,43.80000000,True,2406.89264360,3.37915560,3.37915560,2502.42384360
2023-01-03T22:00:00+00:00,1211.79000000,43.80000000,True,2406.94111520,3.42762720,3.42762720,2502.47231520
2023-01-03T23:00:00+00:00,1213.92000000,43.80000000,True,2406.98967200,3.47618400,3.47618400,2502.52087200
2023-01-04T00:00:00+00:00,1212.63000000,43.80000000,True,2407.03817720,3.52468920,3.52468920,2502.56937720
2023-01-04T01:00:00+00:00,1223.52000000,43.80000000,True,2407.08711800,3.57363000,3.57363000,2502.61831800
2023-01-04T02:00:00+00:00,1231.54000000,43.80000000,True,2407.13637960,3.62289160,3.62289160,2502.66757960
2023-01-04T03:00:00+00:00,1251.00000000,43.80000000,True,2407.18641960,3.67293160,3.67293160,2502.71761960
2023-01-04T04:00:00+00:00,1249.86000000,43.80000000,True,2407.23641400,3.72292600,3.72292600,2502.76761400
2023-01-04T05:00:00+00:00,1247.43000000,43.80000000,True,2407.28631120,3.77282320,3.77282320,2502.81751120
2023-01-04T06:00:00+00:00,1250.08000000,43.80000000,True,2407.33631440,3.82282640,3.82282640,2502.86751440
2023-01-04T07:00:00+00:00,1252.03000000,43.80000000,True,2407.38639560,3.87290760,3.87290760,2502.91759560
2023-01-04T08:00:00+00:00,1250.24000000,43.80000000,True,2407.43640520,3.92291720,3.92291720,2502.96760520
2023-01-04T09:00:00+00:00,1249.39000000,43.80000000,True,2407.48638080,3.97289280,3.97289280,2503.01758080
2023-01-04T10:00:00+00:00,1248.59000000,43.80000000,True,2407.53632440,4.02283640,4.02283640,2503.06752440
2023-01-04T11:00:00+00:00,1251.48000000,43.80000000,True,2407.58638360,4.07289560,4.07289560,2503.11758360
2023-01-04T12:00:00+00:00,1250.50000000,43.80000000,True,2407.63640360,4.12291560,4.12291560,2503.16760360
2023-01-04T13:00:00+00:00,1253.35000000,43.80000000,True,2407.68653760,4.17304960,4.17304960,2503.21773760
2023-01-04T14:00:00+00:00,1250.98000000,43.80000000,True,2407.73657680,4.22308880,4.22308880,2503.26777680
2023-01-04T15:00:00+00:00,1255.31000000,43.80000000,True,2407.78678920,4.27330120,4.27330120,2503.31798920
2023-01-04T16:00:00+00:00,1253.88000000,43.80000000,True,2407.83694440,4.32345640,4.32345640,2503.36814440
2023-01-04T17:00:00+00:00,1260.87000000,43.80000000,True,2407.88737920,4.37389120,4.37389120,2503.41857920
2023-01-04T18:00:00+00:00,1262.55000000,43.80000000,True,2407.93788120,4.42439320,4.42439320,2503.46908120
2023-01-04T19:00:00+00:00,1253.69000000,43.80000000,True,2407.98802880,4.47454080,4.47454080,2503.51922880
2023-01-04T20:00:00+00:00,1250.40000000,43.80000000,True,2408.03804480,4.52455680,4.52455680,2503.56924480
2023-01-04T21:00:00+00:00,1252.16000000,43.80000000,True,2408.08813120,4.57464320,4.57464320,2503.61933120
2023-01-04T22:00:00+00:00,1253.48000000,43.80000000,True,2408.13827040,4.62478240,4.62478240,2503.66947040
2023-01-04T23:00:00+00:00,1256.32000000,43.80000000,True,2408.18852320,4.67503520,4.67503520,2503.71972320
2023-01-05T00:00:00+00:00,1253.94000000,43.80000000,True,2408.23868080,4.72519280,4.72519280,2503.76988080
2023-01-05T01:00:00+00:00,1254.94000000,43.80000000,True,2408.28887840,4.77539040,4.77539040,2503.82007840
2023-01-05T02:00:00+00:00,1253.75000000,43.80000000,True,2408.33902840,4.82554040,4.82554040,2503.87022840
2023-01-05T03:00:00+00:00,1252.60000000,43.80000000,True,2408.38913240,4.87564440,4.87564440,2503.92033240
2023-01-05T04:00:00+00:00,1253.09000000,43.80000000,True,2408.43925600,4.92576800,4.92576800,2503.97045600
