ts,eth_price,funding_apr,in_position,cash,unrealized_pnl,total_funding_income_cumulative,account_value
2023-01-01T00:00:00+00:00,1194.14000000,5.47500000,True,2403.51945870,0.00597070,0.00597070,2499.05065870
2023-01-01T01:00:00+00:00,1195.00000000,5.47500000,True,2403.52543370,0.01194570,0.01194570,2499.05663370
2023-01-01T02:00:00+00:00,1194.75000000,5.47500000,True,2403.53140745,0.01791945,0.01791945,2499.06260745
2023-01-01T03:00:00+00:00,1192.72000000,5.47500000,True,2403.53737105,0.02388305,0.02388305,2499.06857105
2023-01-01T04:00:00+00:00,1192.12000000,5.47500000,True,2403.54333165,0.02984365,0.02984365,2499.07453165
2023-01-01T05:00:00+00:00,1193.44000000,5.47500000,True,2403.54929885,0.03581085,0.03581085,2499.08049885
2023-01-01T06:00:00+00:00,1193.55000000,5.47500000,True,2403.55526660,0.04177860,0.04177860,2499.08646660
2023-01-01T07:00:00+00:00,1194.53000000,5.47500000,True,2403.56123925,0.04775125,0.04775125,2499.09243925
2023-01-01T08:00:00+00:00,1193.79000000,5.47500000,True,2403.56720820,0.05372020,0.05372020,2499.09840820
2023-01-01T09:00:00+00:00,1195.44000000,5.47500000,True,2403.57318540,0.05969740,0.05969740,2499.10438540
2023-01-01T10:00:00+00:00,1195.59000000,5.47500000,True,2403.57916335,0.06567535,0.06567535,2499.11036335
2023-01-01T11:00:00+00:00,1195.36000000,5.47500000,True,2403.58514015,0.07165215,0.07165215,2499.11634015
2023-01-01T12:00:00+00:00,1197.27000000,5.47500000,True,2403.59112650,0.07763850,0.07763850,2499.12232650
2023-01-01T13:00:00+00:00,1194.65000000,5.47500000,True,2403.59709975,0.08361175,0.08361175,2499.12829975
2023-01-01T14:00:00+00:00,1194.68000000,5.47500000,True,2403.60307315,0.08958515,0.08958515,2499.13427315
2023-01-01T15:00:00+00:00,1195.64000000,5.47500000,True,2403.60905135,0.09556335,0.09556335,2499.14025135
2023-01-01T16:00:00+00:00,1197.14000000,5.47500000,True,2403.61503705,0.10154905,0.10154905,2499.14623705
2023-01-01T17:00:00+00:00,1200.17000000,5.47500000,True,2403.62103790,0.10754990,0.10754990,2499.15223790
2023-01-01T18:00:00+00:00,1200.66000000,5.47500000,True,2403.62704120,0.11355320,0.11355320,2499.15824120
2023-01-01T19:00:00+00:00,1201.39000000,5.47500000,True,2403.63304815,0.11956015,0.11956015,2499.16424815
2023-01-01T20:00:00+00:00,1201.48000000,5.47500000,True,2403.63905555,0.12556755,0.12556755,2499.17025555
2023-01-01T21:00:00+00:00,1202.11000000,5.47500000,True,2403.64506610,0.13157810,0.13157810,2499.17626610
2023-01-01T22:00:00+00:00,1200.04000000,5.47500000,True,2403.65106630,0.13757830,0.13757830,2499.18226630
2023-01-01T23:00:00+00:00,1199.76000000,5.47500000,True,2403.65706510,0.14357710,0.14357710,2499.18826510
2023-01-02T00:00:00+00:00,1197.61000000,5.47500000,True,2403.66305315,0.14956515,0.14956515,2499.19425315
2023-01-02T01:00:00+00:00,1194.58000000,5.47500000,True,2403.66902605,0.15553805,0.15553805,2499.20022605
2023-01-02T02:00:00+00:00,1196.21000000,5.47500000,True,2403.67500710,0.16151910,0.16151910,2499.20620710
2023-01-02T03:00:00+00:00,1201.19000000,5.47500000,True,2403.68101305,0.16752505,0.16752505,2499.21221305
2023-01-02T04:00:00+00:00,1200.86000000,5.47500000,True,2403.68701735,0.17352935,0.17352935,2499.21821735
2023-01-02T05:00:00+00:00,1201.88000000,5.47500000,True,2403.69302675,0.17953875,0.17953875,2499.22422675
2023-01-02T06:00:00+00:00,1200.85000000,5.47500000,True,2403.69903100,0.18554300,0.18554300,2499.23023100
2023-01-02T07:00:00+00:00,1212.82000000,5.47500000,True,2403.70509510,0.19160710,0.19160710,2499.23629510
2023-01-02T08:00:00+00:00,1215.39000000,5.47500000,True,2403.71117205,0.19768405,0.19768405,2499.24237205
2023-01-02T09:00:00+00:00,1218.00000000,5.47500000,True,2403.71726205,0.20377405,0.20377405,2499.24846205
2023-01-02T10:00:00+00:00,1217.57000000,5.47500000,True,2403.72334990,0.20986190,0.20986190,2499.25454990
2023-01-02T11:00:00+00:00,1216.31000000,5.47500000,True,2403.72943145,0.21594345,0.21594345,2499.26063145
2023-01-02T12:00:00+00:00,1216.61000000,5.47500000,True,2403.73551450,0.22202650,0.22202650,2499.26671450
2023-01-02T13:00:00+00:00,1214.64000000,5.47500000,True,2403.74158770,0.22809970,0.22809970,2499.27278770
2023-01-02T14:00:00+00:00,1216.52000000,5.47500000,True,2403.74767030,0.23418230,0.23418230,2499.27887030
2023-01-02T15:00:00+00:00,1218.68000000,5.47500000,True,2403.75376370,0.24027570,0.24027570,2499.28496370
2023-01-02T16:00:00+00:00,1216.70000000,5.47500000,True,2403.75984720,0.24635920,0.24635920,2499.29104720
2023-01-02T17:00:00+00:00,1216.31000000,5.47500000,True,2403.76592875,0.25244075,0.25244075,2499.29712875
2023-01-02T18:00:00+00:00,1217.43000000,5.47500000,True,2403.77201590,0.25852790,0.25852790,2499.30321590
2023-01-02T19:00:00+00:00,1218.34000000,5.47500000,True,2403.77810760,0.26461960,0.26461960,2499.30930760
2023-01-02T20:00:00+00:00,1218.27000000,5.47500000,True,2403.78419895,0.27071095,0.27071095,2499.31539895
2023-01-02T21:00:00+00:00,1219.17000000,5.47500000,True,2403.79029480,0.27680680,0.27680680,2499.32149480
2023-01-02T22:00:00+00:00,1214.79000000,5.47500000,True,2403.79636875,0.28288075,0.28288075,2499.32756875
2023-01-02T23:00:00+00:00,1213.71000000,5.47500000,True,2403.80243730,0.28894930,0.28894930,2499.33363730
2023-01-03T00:00:00+00:00,1215.00000000,5.47500000,True,2403.80851230,0.29502430,0.29502430,2499.33971230
2023-01-03T01:00:00+00:00,1213.58000000,5.47500000,True,2403.81458020,0.30109220,0.30109220,2499.34578020
2023-01-03T02:00:00+00:00,1214.01000000,5.47500000,True,2403.82065025,0.30716225,0.30716225,2499.35185025
2023-01-03T03:00:00+00:00,1214.81000000,5.47500000,True,2403.82672430,0.31323630,0.31323630,2499.35792430
2023-01-03T04:00:00+00:00,1213.55000000,5.47500000,True,2403.83279205,0.31930405,0.31930405,2499.36399205
2023-01-03T05:00:00+00:00,1217.23000000,5.47500000,True,2403.83887820,0.32539020,0.32539020,2499.37007820
2023-01-03T06:00:00+00:00,1217.01000000,5.47500000,True,2403.84496325,0.33147525,0.33147525,2499.37616325
2023-01-03T07:00:00+00:00,1216.29000000,5.47500000,True,2403.85104470,0.33755670,0.33755670,2499.38224470
2023-01-03T08:00:00+00:00,1215.40000000,5.47500000,True,2403.85712170,0.34363370,0.34363370,2499.38832170
2023-01-03T09:00:00+00:00,1217.30000000,5.47500000,True,2403.86320820,0.34972020,0.34972020,2499.39440820
2023-01-03T10:00:00+00:00,1215.21000000,5.47500000,True,2403.86928425,0.35579625,0.35579625,2499.40048425
2023-01-03T11:00:00+00:00,1214.43000000,5.47500000,True,2403.87535640,0.36186840,0.36186840,2499.40655640
2023-01-03T12:00:00+00:00,1214.54000000,5.47500000,True,2403.88142910,0.36794110,0.36794110,2499.41262910
2023-01-03T13:00:00+00:00,1216.30000000,5.47500000,True,2403.88751060,0.37402260,0.37402260,2499.41871060
2023-01-03T14:00:00+00:00,1209.43000000,5.47500000,True,2403.89355775,0.38006975,0.38006975,2499.42475775
2023-01-03T15:00:00+00:00,1211.31000000,5.47500000,True,2403.89961430,0.38612630,0.38612630,2499.43081430
2023-01-03T16:00:00+00:00,1207.68000000,5.47500000,True,2403.90565270,0.39216470,0.39216470,2499.43685270
2023-01-03T17:00:00+00:00,1208.20000000,5.47500000,True,2403.91169370,0.39820570,0.39820570,2499.44289370
2023-01-03T18:00:00+00:00,1207.26000000,5.47500000,True,2403.91773000,0.40424200,0.40424200,2499.44893000
2023-01-03T19:00:00+00:00,1209.29000000,5.47500000,True,2403.92377645,0.41028845,0.41028845,2499.45497645
2023-01-03T20:00:00+00:00,1210.42000000,5.47500000,True,2403.92982855,0.41634055,0.41634055,2499.46102855
2023-01-03T21:00:00+00:00,1210.78000000,5.47500000,True,2403.93588245,0.42239445,0.42239445,2499.46708245
2023-01-03T22:00:00+00:00,1211.79000000,5.47500000,True,2403.94194140,0.42845340,0.42845340,2499.47314140
2023-01-03T23:00:00+00:00,1213.92000000,5.47500000,True,2403.94801100,0.43452300,0.43452300,2499.47921100
2023-01-04T00:00:00+00:00,1212.63000000,5.47500000,True,2403.95407415,0.44058615,0.44058615,2499.48527415
2023-01-04T01:00:00+00:00,1223.52000000,5.47500000,True,2403.96019175,0.44670375,0.44670375,2499.49139175
2023-01-04T02:00:00+00:00,1231.54000000,5.47500000,True,2403.96634945,0.45286145,0.45286145,2499.49754945
2023-01-04T03:00:00+00:00,1251.00000000,5.47500000,True,2403.97260445,0.45911645,0.45911645,2499.50380445
2023-01-04T04:00:00+00:00,1249.86000000,5.47500000,True,2403.97885375,0.46536575,0.46536575,2499.51005375
2023-01-04T05:00:00+00:00,1247.43000000,5.47500000,True,2403.98509090,0.47160290,0.47160290,2499.51629090
2023-01-04T06:00:00+00:00,1250.08000000,5.47500000,True,2403.99134130,0.47785330,0.47785330,2499.52254130
2023-01-04T07:00:00+00:00,1252.03000000,5.47500000,True,2403.99760145,0.48411345,0.48411345,2499.52880145
2023-01-04T08:00:00+00:00,1250.24000000,5.47500000,True,2404.00385265,0.49036465,0.49036465,2499.53505265
2023-01-04T09:00:00+00:00,1249.39000000,5.47500000,True,2404.01009960,0.49661160,0.49661160,2499.54129960
2023-01-04T10:00:00+00:00,1248.59000000,5.47500000,True,2404.01634255,0.50285455,0.50285455,2499.54754255
2023-01-04T11:00:00+00:00,1251.48000000,5.47500000,True,2404.02259995,0.50911195,0.50911195,2499.55379995
2023-01-04T12:00:00+00:00,1250.50000000,5.47500000,True,2404.02885245,0.51536445,0.51536445,2499.56005245
2023-01-04T13:00:00+00:00,1253.35000000,5.47500000,True,2404.03511920,0.52163120,0.52163120,2499.56631920
2023-01-04T14:00:00+00:00,1250.98000000,5.47500000,True,2404.04137410,0.52788610,0.52788610,2499.57257410
2023-01-04T15:00:00+00:00,1255.31000000,5.47500000,True,2404.04765065,0.53416265,0.53416265,2499.57885065
2023-01-04T16:00:00+00:00,1253.88000000,5.47500000,True,2404.05392005,0.54043205,0.54043205,2499.58512005
2023-01-04T17:00:00+00:00,1260.87000000,5.47500000,True,2404.06022440,0.54673640,0.54673640,2499.59142440
2023-01-04T18:00:00+00:00,1262.55000000,5.47500000,True,2404.06653715,0.55304915,0.55304915,2499.59773715
2023-01-04T19:00:00+00:00,1253.69000000,5.47500000,True,2404.07280560,0.55931760,0.55931760,2499.60400560
2023-01-04T20:00:00+00:00,1250.40000000,5.47500000,True,2404.07905760,0.56556960,0.56556960,2499.61025760
