ts,eth_price,funding_apr,in_position,cash,unrealized_pnl,total_funding_income_cumulative,account_value
2023-01-01T00:00:00+00:00,1194.14000000,7.00800000,True,2403.52113050,0.00764250,0.00764250,2499.05233050
2023-01-01T01:00:00+00:00,1195.00000000,7.00800000,True,2403.52877850,0.01529050,0.01529050,2499.05997850
2023-01-01T02:00:00+00:00,1194.75000000,7.00800000,True,2403.53642490,0.02293690,0.02293690,2499.06762490
2023-01-01T03:00:00+00:00,1192.72000000,7.00800000,True,2403.54405830,0.03057030,0.03057030,2499.07525830
2023-01-01T04:00:00+00:00,1192.12000000,7.00800000,True,2403.55168787,0.03819987,0.03819987,2499.08288787
2023-01-01T05:00:00+00:00,1193.44000000,7.00800000,True,2403.55932589,0.04583789,0.04583789,2499.09052589
2023-01-01T06:00:00+00:00,1193.55000000,7.00800000,True,2403.56696461,0.05347661,0.05347661,2499.09816461
2023-01-01T07:00:00+00:00,1194.53000000,7.00800000,True,2403.57460960,0.06112160,0.06112160,2499.10580960
2023-01-01T08:00:00+00:00,1193.79000000,7.00800000,True,2403.58224986,0.06876186,0.06876186,2499.11344986
2023-01-01T09:00:00+00:00,1195.44000000,7.00800000,True,2403.58990067,0.07641267,0.07641267,2499.12110067
2023-01-01T10:00:00+00:00,1195.59000000,7.00800000,True,2403.59755245,0.08406445,0.08406445,2499.12875245
2023-01-01T11:00:00+00:00,1195.36000000,7.00800000,True,2403.60520275,0.09171475,0.09171475,2499.13640275
2023-01-01T12:00:00+00:00,1197.27000000,7.00800000,True,2403.61286528,0.09937728,0.09937728,2499.14406528
2023-01-01T13:00:00+00:00,1194.65000000,7.00800000,True,2403.62051104,0.10702304,0.10702304,2499.15171104
2023-01-01T14:00:00+00:00,1194.68000000,7.00800000,True,2403.62815699,0.11466899,0.11466899,2499.15935699
2023-01-01T15:00:00+00:00,1195.64000000,7.00800000,True,2403.63580909,0.12232109,0.12232109,2499.16700909
2023-01-01T16:00:00+00:00,1197.14000000,7.00800000,True,2403.64347078,0.12998278,0.12998278,2499.17467078
2023-01-01T17:00:00+00:00,1200.17000000,7.00800000,True,2403.65115187,0.13766387,0.13766387,2499.18235187
2023-01-01T18:00:00+00:00,1200.66000000,7.00800000,True,2403.65883610,0.14534810,0.14534810,2499.19003610
2023-01-01T19:00:00+00:00,1201.39000000,7.00800000,True,2403.66652499,0.15303699,0.15303699,2499.19772499
2023-01-01T20:00:00+00:00,1201.48000000,7.00800000,True,2403.67421446,0.16072646,0.16072646,2499.20541446
2023-01-01T21:00:00+00:00,1202.11000000,7.00800000,True,2403.68190797,0.16841997,0.16841997,2499.21310797
2023-01-01T22:00:00+00:00,1200.04000000,7.00800000,True,2403.68958822,0.17610022,0.17610022,2499.22078822
2023-01-01T23:00:00+00:00,1199.76000000,7.00800000,True,2403.69726669,0.18377869,0.18377869,2499.22846669
2023-01-02T00:00:00+00:00,1197.61000000,7.00800000,True,2403.70493139,0.19144339,0.19144339,2499.23613139
2023-01-02T01:00:00+00:00,1194.58000000,7.00800000,True,2403.71257670,0.19908870,0.19908870,2499.24377670
2023-01-02T02:00:00+00:00,1196.21000000,7.00800000,True,2403.72023245,0.20674445,0.20674445,2499.25143245
2023-01-02T03:00:00+00:00,1201.19000000,7.00800000,True,2403.72792006,0.21443206,0.21443206,2499.25912006
2023-01-02T04:00:00+00:00,1200.86000000,7.00800000,True,2403.73560557,0.22211757,0.22211757,2499.26680557
2023-01-02T05:00:00+00:00,1201.88000000,7.00800000,True,2403.74329760,0.22980960,0.22980960,2499.27449760
2023-01-02T06:00:00+00:00,1200.85000000,7.00800000,True,2403.75098304,0.23749504,0.23749504,2499.28218304
2023-01-02T07:00:00+00:00,1212.82000000,7.00800000,True,2403.75874509,0.24525709,0.24525709,2499.28994509
2023-01-02T08:00:00+00:00,1215.39000000,7.00800000,True,2403.76652358,0.25303558,0.25303558,2499.29772358
2023-01-02T09:00:00+00:00,1218.00000000,7.00800000,True,2403.77431878,0.26083078,0.26083078,2499.30551878
2023-01-02T10:00:00+00:00,1217.57000000,7.00800000,True,2403.78211123,0.26862323,0.26862323,2499.31331123
2023-01-02T11:00:00+00:00,1216.31000000,7.00800000,True,2403.78989562,0.27640762,0.27640762,2499.32109562
2023-01-02T12:00:00+00:00,1216.61000000,7.00800000,True,2403.79768192,0.28419392,0.28419392,2499.32888192
2023-01-02T13:00:00+00:00,1214.64000000,7.00800000,True,2403.80545562,0.29196762,0.29196762,2499.33665562
2023-01-02T14:00:00+00:00,1216.52000000,7.00800000,True,2403.81324134,0.29975334,0.29975334,2499.34444134
2023-01-02T15:00:00+00:00,1218.68000000,7.00800000,True,2403.82104090,0.30755290,0.30755290,2499.35224090
2023-01-02T16:00:00+00:00,1216.70000000,7.00800000,True,2403.82882778,0.31533978,0.31533978,2499.36002778
2023-01-02T17:00:00+00:00,1216.31000000,7.00800000,True,2403.83661216,0.32312416,0.32312416,2499.36781216
2023-01-02T18:00:00+00:00,1217.43000000,7.00800000,True,2403.84440371,0.33091571,0.33091571,2499.37560371
2023-01-02T19:00:00+00:00,1218.34000000,7.00800000,True,2403.85220109,0.33871309,0.33871309,2499.38340109
2023-01-02T20:00:00+00:00,1218.27000000,7.00800000,True,2403.85999802,0.34651002,0.34651002,2499.39119802
2023-01-02T21:00:00+00:00,1219.17000000,7.00800000,True,2403.86780070,0.35431270,0.35431270,2499.39900070
2023-01-02T22:00:00+00:00,1214.79000000,7.00800000,True,2403.87557536,0.36208736,0.36208736,2499.40677536
2023-01-02T23:00:00+00:00,1213.71000000,7.00800000,True,2403.88334310,0.36985510,0.36985510,2499.41454310
2023-01-03T00:00:00+00:00,1215.00000000,7.00800000,True,2403.89111910,0.37763110,0.37763110,2499.42231910
